feature,gain
err_channel_psal,124358.27492085483
LONGITUDE,56593.42566974496
woa_resid_psal_deep,47116.52030097673
LATITUDE,45786.6434013485
PSAL_min,42658.69893835721
ts_residual,38622.471521301195
density_inv_max,38312.47403682768
TEMP_min,33157.9822356049
spike_rate_psal,26848.085527751595
deep_psal_bias,26320.474041046342
rmse_psal_deep,25682.17483450286
max_abs_z_psal,20838.647618550807
PSAL_mean,19053.029850915074
PSAL_max,18311.444421052
woa_resid_psal_mid,18121.62612049072
skew_psal,16586.6575428918
PRES_grad_std,16068.124285067432
PSAL_std,15520.247654983774
max_abs_z_temp,15419.352063142986
TEMP_mean,15139.045309099834
woa_resid_psal_mean,14701.894868837699
TEMP_range,14367.389757469296
rmse_psal_mid,13847.412712796591
TEMP_std,13747.042459642515
rmse_temp_mid,13494.23912385169
kurt_temp,13264.818237294443
coverage,13036.350833013654
PSAL_mean_grad,12833.713720491156
kurt_psal,12448.35913227126
PSAL_range,12275.354863978922
skew_temp,12123.043474576436
woa_resid_temp_mid,11281.53486407113
woa_resid_temp_deep,10771.906549051404
woa_resid_psal_surface,10705.567183031002
woa_resid_temp_absmax,9149.888141281903
PRES_min,5702.476554602385
density_inv_frac,5559.607610881329
