feature,gain
err_channel_psal,58358.628007060266
LONGITUDE,34901.91013486311
err_channel_temp,32740.545967468992
LATITUDE,25796.33258752525
woa_resid_psal_deep,20167.816433619708
deep_psal_bias,17577.251858085394
PRES_grad_std,17413.50008827448
density_inv_max,12216.76065480709
ts_residual,11915.54822621867
spike_rate_psal,11482.406879171729
PSAL_mean,10698.862482785247
PSAL_max,10011.320665578358
skew_psal,9443.026545837522
coverage,9246.67041529715
PSAL_min,9093.6458273381
PRES_mean,8801.208891257644
woa_resid_psal_mid,8467.163839183748
TEMP_mean,8156.290340185165
rmse_temp_mid,7478.029221601784
TEMP_min,6793.496986048296
max_abs_z_psal,6347.457241181284
max_abs_z_temp,5729.752208955586
kurt_psal,5305.20508444123
skew_temp,5297.04116563499
PSAL_std,5045.024742439389
woa_resid_psal_mean,4814.982440854423
rmse_psal_surface,4431.947642490268
rmse_psal_deep,4424.320956170559
PSAL_range,4174.26873896271
TEMP_std,4161.535650484264
kurt_temp,3991.8299690559506
rmse_temp_deep,3819.2546966448426
PSAL_grad_std,3810.2106467038393
spike_rate_temp,3652.529953479767
PSAL_mean_grad,3551.6105928719044
woa_resid_temp_deep,3416.1818463224918
