feature,gain,gain_norm,gain_cum
LATITUDE,147310.67122149467,0.1730624501114912,0.1730624501114912
LONGITUDE,108252.65963292122,0.1271766013406437,0.3002390514521349
woa_resid_psal_deep,46770.86891555786,0.054947011654025775,0.3551860631061607
err_channel_psal,46548.667562007904,0.05468596667782289,0.40987202978398357
PSAL_min,40047.40475654602,0.04704820044810953,0.4569202302320931
PRES_grad_std,33699.62041282654,0.03959074266725623,0.4965109728993493
ts_residual,31722.759932994843,0.037268301832988064,0.5337792747323373
PSAL_max,24153.348438739777,0.028375660938506,0.5621549356708433
density_inv_max,22444.591207504272,0.026368191210541077,0.5885231268813844
PSAL_mean,21684.901842355728,0.025475698482308455,0.6139988253636929
deep_psal_bias,20894.972893714905,0.024547679906789077,0.638546505270482
spike_rate_psal,20697.16231751442,0.024315289526028752,0.6628617947965108
PRES_mean,19894.69045639038,0.023372535377397936,0.6862343301739087
rmse_psal_mid,15503.057069540024,0.01821318861984375,0.7044475187937524
PSAL_std,15149.47161602974,0.017797791932007985,0.7222453107257605
err_channel_temp,13690.196433782578,0.016083416888214574,0.738328727613975
max_abs_z_temp,13586.56647849083,0.01596167109872748,0.7542903987127025
woa_resid_psal_mean,12746.019472360611,0.014974185785487334,0.7692645844981899
rmse_psal_deep,11881.829046487808,0.013958923882026415,0.7832235083802164
TEMP_min,11879.302827835083,0.013955956048223658,0.79717946442844
coverage,11665.82243013382,0.013705156561868692,0.8108846209903087
PRES_max,11317.725732564926,0.01329620813432123,0.8241808291246299
skew_psal,9488.101989746094,0.011146742891315928,0.8353275720159458
max_abs_z_psal,8901.569021701813,0.010457676500678935,0.8457852485166247
kurt_psal,8800.30359005928,0.01033870858364797,0.8561239571002727
TEMP_std,8446.489018678665,0.009923042725224119,0.8660469998254968
woa_resid_psal_mid,8312.658428907394,0.009765816846245825,0.8758128166717426
TEMP_mean,8103.62628531456,0.00952024322539225,0.8853330598971348
spike_rate_temp,7400.380310297012,0.008694060909756838,0.8940271208068917
PSAL_range,6854.622893571854,0.00805289815541055,0.9020800189623023
skew_temp,6795.063663244247,0.007982927214121768,0.910062946176424
TEMP_grad_std,5543.748061418533,0.006512865730326867,0.9165758119067509
PSAL_mean_grad,5428.647163629532,0.006377643731701623,0.9229534556384524
TEMP_mean_grad,5392.166766166687,0.006334786096788886,0.9292882417352413
woa_resid_psal_surface,4974.334500074387,0.005843911436413169,0.9351321531716544
TEMP_range,4303.449614524841,0.005055747340267021,0.9401879005119215
woa_resid_temp_deep,4136.7979736328125,0.0048599628729998155,0.9450478633849213
kurt_temp,4065.6590354442596,0.004776387943640289,0.9498242513285616
peak_err_temp,3868.2342443466187,0.004544450788125369,0.954368702116687
rmse_temp_deep,3589.703483581543,0.004217229307904538,0.9585859314245916
PSAL_grad_std,3563.9178392887115,0.004186936005036405,0.962772867429628
rmse_temp_mid,3069.903264760971,0.003606561399791366,0.9663794288294193
TEMP_max,2780.7026331424713,0.0032668048195879256,0.9696462336490073
woa_resid_temp_mid,2699.3049137592316,0.003171177743605289,0.9728174113926126
woa_resid_temp_surface,2658.8823182582855,0.003123688764298821,0.9759411001569114
woa_resid_temp_mean,2632.6094217300415,0.003092823031307441,0.9790339231882188
PSAL_max_grad,2507.7268164157867,0.0029461093582735646,0.9819800325464924
rmse_temp_surface,2502.2077310085297,0.002939625466543017,0.9849196580130354
TEMP_max_grad,2183.747142314911,0.0025654939166270072,0.9874851519296624
rmse_psal_overall,1804.8905205726624,0.002120408338942741,0.9896055602686051
rmse_psal_surface,1618.8876655101776,0.001901889819151018,0.9915074500877562
peak_err_psal,1468.564947605133,0.001725288778287187,0.9932327388660434
woa_resid_temp_absmax,1096.6009936332703,0.0012883007943634834,0.9945210396604068
rmse_temp_overall,1046.3008406162262,0.0012292075348600783,0.995750247195267
PRES_mean_grad,941.7543768882751,0.0011063850196055872,0.9968566322148725
mse_total,907.8123965263367,0.0010665095493876762,0.9979231417642602
woa_resid_psal_absmax,720.4731705188751,0.0008464210440132538,0.9987695628082734
PRES_std,532.8885984420776,0.0006260443029561589,0.9993956071112297
PRES_min,339.45099925994873,0.00039879135121440425,0.9997943984624441
density_inv_frac,175.00792622566223,0.0002056015375559898,1.0
PRES_range,0.0,0.0,1.0
PRES_max_grad,0.0,0.0,1.0
