feature,gain
LATITUDE,193493.79095882922
LONGITUDE,149923.2159231305
err_channel_psal,74248.33267235011
PSAL_min,56453.40058841184
woa_resid_psal_deep,56138.07520416379
ts_residual,45816.76120951213
PRES_grad_std,44676.81314099813
deep_psal_bias,35325.4997414276
PSAL_max,35130.60684344465
density_inv_max,34466.44101731945
PRES_mean,34022.35024766624
spike_rate_psal,32171.455988526344
PSAL_mean,29566.76260766387
max_abs_z_temp,28739.34410335429
rmse_psal_mid,22581.208970331936
PSAL_std,22077.887601505965
skew_psal,21564.16905108746
rmse_psal_deep,21374.54437418282
TEMP_min,21092.21314959973
PRES_max,19994.616430372
TEMP_std,19837.90300263604
woa_resid_psal_mean,19542.114065490663
err_channel_temp,19164.94557801634
TEMP_mean,15795.558352768421
max_abs_z_psal,15131.153323742677
kurt_psal,13710.925498852506
woa_resid_psal_mid,12503.123029313982
spike_rate_temp,11518.83786430303
PSAL_range,11411.047680834774
coverage,10982.925762087107
